filename,category,width,height,prompt
creatures/feuillon.png,creature,512,512,"small adorable creature resembling a baby deer with large leaf-shaped ears, bright lime green fur, big round black eyes with white highlight, tiny button nose, plump round body, sitting pose, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/broutard.png,creature,512,512,"stocky small bull-like creature with short curved brown horns, warm chestnut brown fur, thick sturdy legs, peaceful grazing expression, big amber eyes, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/boussin.png,creature,512,512,"round fluffy pink creature with tiny flower blossoms growing from its back and head, like a living garden, soft pastel pink fur, joyful expression, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/flottin.png,creature,512,512,"small otter-like aquatic creature, cyan and white fur, webbed paws, water droplets on coat, whiskers, playful expression, fins on tail, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/mellior.png,creature,512,512,"small bear-bee hybrid creature, fuzzy golden yellow and black stripes, small rounded wings that shimmer, antenna with ball tips, carries tiny pollen sacs, cute and round, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/rampex.png,creature,512,512,"stocky badger-like forest creature, dark brown with silver stripe down back, strong claws for digging, calm forest dweller look, mossy fur texture, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/gribou.png,creature,512,512,"mysterious small creature resembling a cross between an owl and a mushroom, deep purple fur, glowing spores on its cap, wide luminous amber eyes, nocturnal atmosphere, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft moonlight, 4K, no text, no watermark"
creatures/crochon.png,creature,512,512,"rotund armadillo-like creature, grey stone-textured armor plating, small stubby legs, gentle expression, curls into ball, rock-like scales, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft natural lighting, 4K, no text, no watermark"
creatures/scorpilou.png,creature,512,512,"small scorpion-lizard hybrid creature, burnt orange and black, segmented tail with glowing stinger, sharp claws, alert predatory stance, desert coloring, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic desert lighting, 4K, no text, no watermark"
creatures/griffax.png,creature,512,512,"compact dark grey eagle-cat hybrid, folded feathered wings, razor talons, piercing yellow eyes, battle-ready posture, storm cloud coloring, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic lighting, 4K, no text, no watermark"
creatures/sirpio.png,creature,512,512,"elegant small sea serpent, iridescent green scales, flowing fin crests, hypnotic eyes, coiled graceful pose, aquatic shimmer effect, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, soft aquatic lighting, 4K, no text, no watermark"
creatures/stalagor.png,creature,512,512,"crystal deer creature, icy blue crystalline antlers that glow, semi-transparent body with inner light, graceful and ethereal, nocturnal cave dweller, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic crystal backlighting, 4K, no text, no watermark"
creatures/dunor.png,creature,512,512,"powerful sand lion creature, burnt orange mane made of hardened sand spikes, amber eyes, desert warrior aesthetic, cracked dry earth texture on fur, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic desert lighting, 4K, no text, no watermark"
creatures/rughor.png,creature,512,512,"massive bear-wolverine hybrid, dark chocolate brown thick fur, battle scars, enormous curved claws, intimidating but majestic, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic forest lighting, 4K, no text, no watermark"
creatures/venomoth.png,creature,512,512,"large moth creature with intricate deep purple and black wing patterns, skull motif on wings, toxic green eyes, bioluminescent patterns, eerie beauty, wings spread wide, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, dramatic moonlight, 4K, no text, no watermark"
creatures/aquilon.png,creature,512,512,"majestic leviathan-like sea dragon, cyan and deep blue iridescent scales, flowing whiskers, ocean current around body, ancient and powerful, glowing patterns, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, epic underwater lighting, 4K, no text, no watermark"
creatures/lumios.png,creature,512,512,"radiant deer-like creature made of living light and golden energy, soft glowing body, sun rays emanating from antlers, graceful and divine, full body visible, isolated on transparent background, painterly realistic game creature, ultra detailed, divine golden lighting, 4K, no text, no watermark"
